district,price,building_type,street,region,area,ceiling_height
Center,64000.0,stone,Mashtots Ave,Yerevan,54.0,3.2
Center,111000.0,other,Rostom St,Yerevan,84.0,2.8
Center,74900.0,stone,Vardanants St,Yerevan,90.0,2.8
Center,74800.0,monolit,Verin Antarayin,Yerevan,68.0,3.0
Center,70000.0,panel,Tigran Mets Ave,Yerevan,100.0,2.8
Center,115000.0,stone,Paronyan St,Yerevan,102.0,3.0
Center,70000.0,stone,Khanjyan St,Yerevan,81.0,3.2
Center,70000.0,panel,Vardanants St,Yerevan,78.0,3.0
Center,73000.0,other,Paronyan St,Yerevan,85.0,3.2
Center,74000.0,panel,Bryusov St,Yerevan,108.0,3.0
Center,73000.0,other,Argishti St,Yerevan,92.0,2.8
Center,74000.0,other,Tigran Mets Ave,Yerevan,72.0,2.8
Center,80000.0,stone,Zakyan St,Yerevan,100.0,2.8
Center,63000.0,panel,Israelyan St,Yerevan,59.0,3.0
Center,78000.0,other,Tsitsernakaberd Highway,Yerevan,98.0,2.8
Center,60000.0,panel,NarDos St,Yerevan,64.0,2.8
Center,60000.0,monolit,Argishti St,Yerevan,54.0,3.0
Center,89000.0,stone,Vardanants St,Yerevan,70.0,3.0
Center,60000.0,panel,Baghramyan Ave (Kentron),Yerevan,42.0,2.8
Center,60000.0,stone,Tigran Mets Ave,Yerevan,75.0,3.0
Center,58000.0,stone,Mashtots Ave,Yerevan,40.0,2.8
Center,87000.0,stone,Vardanants St,Yerevan,105.0,2.8
Center,88000.0,monolit,Amiryan St,Yerevan,75.0,3.0
Center,88000.0,stone,Baghramyan Ave (Kentron),Yerevan,83.0,2.8
Center,170000.0,stone,Abovyan St,Yerevan,104.0,2.8
Center,320000.0,stone,Tamanyan St,Yerevan,112.0,3.2
Center,135000.0,monolit,Paronyan St,Yerevan,101.0,2.8
Center,237600.0,other,Aram St,Yerevan,132.0,3.0
Center,155000.0,monolit,Sayat Nova Ave,Yerevan,80.0,3.0
Center,35000.0,panel,Bryusov St,Yerevan,45.0,2.8
Center,72000.0,monolit,Antarayin St,Yerevan,60.0,2.8
Center,165000.0,monolit,Northern Ave,Yerevan,67.0,3.0
Center,45000.0,panel,Agatangeghos St,Yerevan,42.0,2.8
Center,85000.0,monolit,Tsitsernakaberd Highway,Yerevan,105.0,3.0
Center,155000.0,stone,Abovyan St,Yerevan,65.0,3.0
Center,85000.0,panel,E. Qochar St,Yerevan,75.0,2.8
Center,160000.0,stone,Nalbandyan St,Yerevan,112.0,2.8
Center,90000.0,stone,Nalbandyan St,Yerevan,73.0,2.8
Center,85000.0,stone,Nalbandyan St,Yerevan,47.0,3.2
Center,39900.0,monolit,Argishti St,Yerevan,38.0,3.0
Center,72000.0,stone,Charents St,Yerevan,38.0,3.0
Center,110000.0,stone,M.Khorenatsi St,Yerevan,101.0,3.0
Center,120000.0,stone,Abovyan St,Yerevan,60.0,2.8
Center,140000.0,monolit,Amiryan St,Yerevan,78.0,3.0
Center,46000.0,monolit,Aygestan 9 St,Yerevan,51.0,3.0
Center,41000.0,stone,Nalbandyan St,Yerevan,37.0,2.8
Center,39000.0,stone,D. Demirchyan St,Yerevan,35.0,2.8
Center,72000.0,stone,Khanjyan St,Yerevan,75.0,3.2
Center,130000.0,panel,Sayat Nova Ave,Yerevan,101.0,2.8
Center,300000.0,monolit,Aram St,Yerevan,125.0,3.0
Center,110000.0,monolit,Sayat Nova Ave,Yerevan,82.0,3.0
Center,110000.0,stone,Tpagrichner St,Yerevan,98.0,3.2
Center,50000.0,stone,Sayat Nova Ave,Yerevan,36.0,3.2
Center,50000.0,panel,Tsovakal Isakov Ave,Yerevan,125.0,2.8
Center,80000.0,panel,NarDos St,Yerevan,90.0,2.8
Center,120000.0,stone,Nalbandyan St,Yerevan,100.0,2.8
Center,50000.0,monolit,Argishti St,Yerevan,53.0,3.0
Center,157600.0,monolit,Antarayin St,Yerevan,137.0,3.2
Center,170000.0,panel,Pushkin St,Yerevan,109.0,3.0
Center,46000.0,panel,Tigran Mets Ave,Yerevan,41.0,2.8
Center,135000.0,panel,Vardanants St,Yerevan,113.0,2.8
Center,140000.0,other,Pushkin St,Yerevan,91.0,2.8
Center,153000.0,stone,Saryan St,Yerevan,143.0,2.8
Center,110000.0,monolit,Sayat Nova Ave,Yerevan,82.0,3.0
Center,130000.0,stone,Sayat Nova Ave,Yerevan,95.0,3.0
Center,130000.0,monolit,Mashtots Ave,Yerevan,90.0,3.0
Center,160000.0,monolit,D. Demirchyan St,Yerevan,84.0,3.0
Center,122000.0,stone,Sayat Nova Ave,Yerevan,80.0,2.8
Center,200000.0,monolit,Mher Mkrtchyan St,Yerevan,110.0,3.0
Center,39500.0,monolit,Argishti St,Yerevan,38.0,3.0
Center,68000.0,stone,Charents St,Yerevan,52.0,3.2
Center,35000.0,stone,Koryun St,Yerevan,44.0,3.0
Center,33000.0,panel,E. Qochar St,Yerevan,52.0,2.8
Center,33000.0,panel,M.Khorenatsi St,Yerevan,42.0,2.8
Center,200000.0,monolit,Teryan St,Yerevan,107.0,2.8
Center,200000.0,stone,Pushkin St,Yerevan,135.0,3.2
Center,68000.0,other,Koghbatsi St,Yerevan,43.0,2.8
Center,221000.0,monolit,Verin Antarayin,Yerevan,130.0,3.2
Center,230000.0,stone,Pushkin St,Yerevan,135.0,3.0
Center,230000.0,stone,Teryan St,Yerevan,98.0,3.0
Center,230000.0,stone,Mashtots Ave,Yerevan,100.0,3.2
Center,226000.0,monolit,Aram St,Yerevan,126.0,2.8
Center,230000.0,stone,Mashtots Ave,Yerevan,100.0,3.0
